Año;Aerolinea;Pasajeros;Origen_final;Destino_final;Mes;Ruta;Demanda_pred;Precio_final;Ingreso_estimado
2024;LATAM AIRLINES CHILE;3965;SANTIAGO;OSORNO;10;SANTIAGO-OSORNO;5688.629;85.16202026;202283.1206
2024;LATAM AIRLINES CHILE;9021;VALDIVIA;SANTIAGO;11;VALDIVIA-SANTIAGO;9613.923;124.8495937;752200.157
2024;LATAM AIRLINES CHILE;1175;TEMUCO;SANTIAGO;10;TEMUCO-SANTIAGO;2334.3125;85.20484333;76536.76357
2024;LATAM AIRLINES CHILE;4254;OSORNO;SANTIAGO;12;OSORNO-SANTIAGO;6100.7866;68.83916703;243638.8887
2024;LATAM AIRLINES CHILE;5;ANTOFAGASTA;CALAMA;3;ANTOFAGASTA-CALAMA;4173.846;91.6714627;298.9304091
2024;LATAM AIRLINES CHILE;3988;ANTOFAGASTA;LA SERENA;2;ANTOFAGASTA-LA SERENA;5115.0957;65.99613745;177273.7801
2024;LATAM AIRLINES CHILE;24185;ANTOFAGASTA;SANTIAGO;5;ANTOFAGASTA-SANTIAGO;19572.268;138.6648649;2382346.992
2024;LATAM AIRLINES CHILE;3098;BALMACEDA;PUERTO MONTT;6;BALMACEDA-PUERTO MONTT;4028.2227;138.637873;386427.5035
2024;LATAM AIRLINES CHILE;913;BALMACEDA;SANTIAGO;9;BALMACEDA-SANTIAGO;1772.443;120.1421497;85946.28984
2024;LATAM AIRLINES CHILE;15430;CONCEPCION;SANTIAGO;6;CONCEPCION-SANTIAGO;14648.192;99.52021567;1287842.02
2024;LATAM AIRLINES CHILE;3153;CALAMA;LA SERENA;6;CALAMA-LA SERENA;4405.2217;122.7671717;314663.9162
2024;LATAM AIRLINES CHILE;22276;CALAMA;SANTIAGO;1;CALAMA-SANTIAGO;18682.69;101.7034219;1998453.063
2024;LATAM AIRLINES CHILE;5141;COPIAPO;SANTIAGO;11;COPIAPO-SANTIAGO;7579.4487;50.60653418;130664.6142
2024;LATAM AIRLINES CHILE;9660;IQUIQUE;SANTIAGO;4;IQUIQUE-SANTIAGO;10764.312;85.58232691;444247.4397
2024;LATAM AIRLINES CHILE;3975;LA SERENA;ANTOFAGASTA;4;LA SERENA-ANTOFAGASTA;5063.7085;132.0023268;362172.8272
2024;LATAM AIRLINES CHILE;3332;LA SERENA;CALAMA;7;LA SERENA-CALAMA;4422.1875;124.313122;232968.0577
2024;LATAM AIRLINES CHILE;6036;LA SERENA;SANTIAGO;8;LA SERENA-SANTIAGO;6578.402;120.9391107;609678.0218
2024;LATAM AIRLINES CHILE;2939;PUERTO MONTT;BALMACEDA;11;PUERTO MONTT-BALMACEDA;3262.7988;102.0834854;235161.5269
2024;LATAM AIRLINES CHILE;1766;PUERTO MONTT;PUNTA ARENAS;1;PUERTO MONTT-PUNTA ARENAS;3785.3762;77.79971313;111002.1557
2024;LATAM AIRLINES CHILE;18007;PUERTO MONTT;SANTIAGO;5;PUERTO MONTT-SANTIAGO;16195.357;67.74208264;617419.3941
2024;LATAM AIRLINES CHILE;2360;PUNTA ARENAS;PUERTO MONTT;6;PUNTA ARENAS-PUERTO MONTT;4752.732;130.0181412;187328.2007
2024;LATAM AIRLINES CHILE;4248;PUNTA ARENAS;SANTIAGO;6;PUNTA ARENAS-SANTIAGO;7661.5728;101.5422065;251387.4231
2024;LATAM AIRLINES CHILE;26174;SANTIAGO;ANTOFAGASTA;4;SANTIAGO-ANTOFAGASTA;20972.225;108.2711172;1589957.241
2024;LATAM AIRLINES CHILE;1440;SANTIAGO;ARICA;12;SANTIAGO-ARICA;3737.3853;134.8538782;168264.5092
2024;LATAM AIRLINES CHILE;913;SANTIAGO;BALMACEDA;8;SANTIAGO-BALMACEDA;1644.6512;95.43978495;72290.48882
2024;LATAM AIRLINES CHILE;10778;SANTIAGO;CONCEPCION;9;SANTIAGO-CONCEPCION;12078.015;98.81450251;603912.7511
